Var1	Var2	value	pval	adjp	pair
hsa-miR-199a-3p	FUCA2	-0.299680351439804	2.1644121912523e-06	0.0344860009593932	hsa-miR-199a-3p FUCA2
hsa-miR-199a-5p	FUCA2	-0.291567094012537	4.16019382809552e-06	0.0456862963352338	hsa-miR-199a-5p FUCA2
hsa-miR-199b-3p	FUCA2	-0.299680351439804	2.1644121912523e-06	0.0344860009593932	hsa-miR-199b-3p FUCA2
hsa-miR-214-3p	FUCA2	-0.300853882993033	1.965957926231e-06	0.0329274861362725	hsa-miR-214-3p FUCA2
hsa-miR-214-5p	FUCA2	-0.312804654811098	7.20670906506626e-07	0.0218755615594498	hsa-miR-214-5p FUCA2
hsa-miR-448	STPG1	-0.321945549322371	3.2452453746501e-07	0.0146387795427632	hsa-miR-448 STPG1
hsa-miR-1292-5p	CYP51A1	-0.290218295005498	4.62863790606782e-06	0.0477071374087672	hsa-miR-1292-5p CYP51A1
hsa-miR-133a-5p	HS3ST1	0.293959594169839	3.43820507509029e-06	0.0419652071831462	hsa-miR-133a-5p HS3ST1
hsa-miR-22-5p	HS3ST1	-0.326572450059509	2.14508613316511e-07	0.0121032749851843	hsa-miR-22-5p HS3ST1
hsa-miR-769-5p	HS3ST1	-0.302153120835029	1.76652949801515e-06	0.0319263720475013	hsa-miR-769-5p HS3ST1
hsa-miR-12136	CFLAR	-0.294012560764876	3.42365996397476e-06	0.0419652071831462	hsa-miR-12136 CFLAR
hsa-miR-30a-3p	FKBP4	0.313640793508909	6.70687026582684e-07	0.0213304962822939	hsa-miR-30a-3p FKBP4
hsa-miR-223-3p	MPO	0.297754086471298	2.53220794954601e-06	0.0366675445329878	hsa-miR-223-3p MPO
hsa-miR-129-1-3p	PAF1	0.296426562226822	2.81959804881993e-06	0.0383702763773284	hsa-miR-129-1-3p PAF1
hsa-miR-548az-5p	ARSD	-0.29992627002636	2.12130409060762e-06	0.0342745343154447	hsa-miR-548az-5p ARSD
hsa-miR-1285-3p	GAS7	-0.29397815670281	3.4331009453048e-06	0.0419652071831462	hsa-miR-1285-3p GAS7
hsa-miR-106a-5p	PSMB1	-0.317063297466834	4.98589861397392e-07	0.0180355818538425	hsa-miR-106a-5p PSMB1
hsa-miR-20b-5p	PSMB1	-0.317188586358789	4.93172379378848e-07	0.0179543384978697	hsa-miR-20b-5p PSMB1
hsa-miR-1298-3p	ADAM22	-0.289332707977255	4.96306343045205e-06	0.0491353004239369	hsa-miR-1298-3p ADAM22
hsa-miR-31-5p	TENM1	-0.298681567298683	2.34824019540447e-06	0.0353778299120354	hsa-miR-31-5p TENM1
hsa-miR-30d-5p	ZNF207	0.289479516288255	4.90607801584275e-06	0.0488975580523265	hsa-miR-30d-5p ZNF207
hsa-miR-27b-3p	RNF216	-0.294188953011854	3.3756426338627e-06	0.0416968997091999	hsa-miR-27b-3p RNF216
hsa-miR-4303	MDH1	0.29379214087679	3.48457760068754e-06	0.0421958346716258	hsa-miR-4303 MDH1
hsa-miR-375-3p	COX15	0.298269237382512	2.42839468800327e-06	0.0358471771928014	hsa-miR-375-3p COX15
hsa-miR-4303	RTFDC1	0.301945751080648	1.79700935198923e-06	0.0319907390992902	hsa-miR-4303 RTFDC1
hsa-miR-133a-3p	SLC45A4	0.298673781307182	2.34973008739203e-06	0.0353778299120354	hsa-miR-133a-3p SLC45A4
hsa-miR-34a-5p	SLC45A4	0.314377220511204	6.29428499099305e-07	0.0205968760955871	hsa-miR-34a-5p SLC45A4
hsa-miR-486-5p	GRAMD1B	0.313255000465394	6.93322478095837e-07	0.0215140924681093	hsa-miR-486-5p GRAMD1B
hsa-miR-548a-3p	CCDC28A	-0.314747291166415	6.09624054348501e-07	0.0202413170847183	hsa-miR-548a-3p CCDC28A
hsa-miR-137-5p	KCNG1	0.292284308355009	3.92985147179559e-06	0.0444945879130728	hsa-miR-137-5p KCNG1
hsa-miR-1-3p	ANK1	0.293826574825781	3.47499346697866e-06	0.0421248307085509	hsa-miR-1-3p ANK1
hsa-miR-133a-3p	ANK1	0.299534530765822	2.19036718984711e-06	0.0345400954583427	hsa-miR-133a-3p ANK1
hsa-miR-34a-5p	ANK1	0.291952185856187	4.03496452427987e-06	0.0450940348697221	hsa-miR-34a-5p ANK1
hsa-miR-448	ANK1	-0.35217008926012	1.91184414966017e-08	0.00313273174466273	hsa-miR-448 ANK1
hsa-miR-31-5p	LRRC7	-0.301120750930068	1.92331709136795e-06	0.032823608646812	hsa-miR-31-5p LRRC7
hsa-miR-1246	MAP2K3	-0.307410547594563	1.13982951699398e-06	0.026391379542508	hsa-miR-1246 MAP2K3
hsa-miR-548w	TMSB10	0.320072506394319	3.8298847204743e-07	0.0159151948727909	hsa-miR-548w TMSB10
hsa-miR-6836-5p	PEX3	0.289328645013889	4.9646494406641e-06	0.0491353004239369	hsa-miR-6836-5p PEX3
hsa-miR-23b-5p	FBXO42	0.304410530717662	1.46511922416437e-06	0.0293484562975978	hsa-miR-23b-5p FBXO42
hsa-miR-4800-3p	FBXO42	-0.297056741545086	2.67949754695351e-06	0.0375003995093972	hsa-miR-4800-3p FBXO42
hsa-miR-497-5p	MRI1	-0.28944359103223	4.91996501295056e-06	0.0489497868096827	hsa-miR-497-5p MRI1
hsa-miR-6750-3p	PNKP	-0.29786199368838	2.51011801188916e-06	0.036645495142066	hsa-miR-6750-3p PNKP
hsa-miR-3976	ADAM28	-0.297522087127511	2.58033061451002e-06	0.0370279274595552	hsa-miR-3976 ADAM28
hsa-miR-4530	ADAM28	-0.29961971468697	2.17516923450845e-06	0.0344860009593932	hsa-miR-4530 ADAM28
