ID	Ref_MFE	Edit_MFE	deltaG	EditSite_Changed	SpliceStart_Changed	SpliceEnd_Changed
chr11_47536684|47536684|47489024|47536620	-43.1	-43.1	0	0	NA	0
chr11_47536684|47536684|47536730|47552992	-43.1	-43.1	0	0	0	NA
chr11_47536706|47536706|47489024|47536620	-47.29	-47.29	0	0	NA	0
chr11_47536706|47536706|47536730|47552992	-47.29	-47.29	0	0	0	NA
chr12_121776900|121776900|121776444|121776	-60.9	-65.1	-4.2	1	NA	NA
chr12_121776917|121776917|121776444|121776	-67.2	-67.2	0	0	NA	NA
chr4_51887162|51887162|51886638|51887123	-50.2	-50.2	0	0	NA	0
chr4_51887162|51887162|51887244|51891760	-50.2	-50.2	0	0	0	NA
chr4_51887180|51887180|51886638|51887123	-52.2	-52.5	-0.3	0	NA	0
chr4_51887180|51887180|51887244|51891760	-52.2	-52.5	-0.3	0	0	NA
chr4_51887200|51887200|51886638|51887123	-51.8	-55.6	-3.8	1	NA	0
chr4_51887200|51887200|51887244|51891760	-51.8	-55.6	-3.8	1	1	NA
