edsite	chr	pos	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP.H4.abf	repeat_element	genomic_annotation	gene_name
chr4_51887180	4	51887180	15	2.79081997732089e-27	1.37159016747071e-16	2.03473314805043e-14	7.07245817965861e-13	0.999999999999275	0.999999999999275	SINE/AluSc	intronic	DCUN1D4
chr7_66708757	7	66708757	273	1.94178140616574e-08	0.00153237173847876	6.42139823439973e-07	0.0497262175374183	0.948740749166464	0.948740749166464	SINE/AluJr	intronic	RABGEF1
chr4_51887162	4	51887162	15	2.34345166254578e-12	0.115172432633088	2.18342213911953e-14	0.000188436295432988	0.884639131069114	0.884639131069114	SINE/AluSc	intronic	DCUN1D4
chr19_37324966	19	37324966	149	0.000694527154328086	0.232201704165665	7.81116412048528e-05	0.0253734623691243	0.741652194669678	0.741652194669678	SINE/AluYm1	intronic	ZNF875
chr3_58565436	3	58565436	108	2.29337212235582e-85	4.24580126885001e-87	0.262317294253556	0.00412281334911118	0.733559892397321	0.733559892397321	NA	NA	NA
chr3_58565433	3	58565433	108	7.2765188449209e-20	1.34712777936973e-21	0.262946806754427	0.00413510954633572	0.73291808369924	0.73291808369924	NA	NA	NA
chr9_109136765	9	109136765	171	0.0501021942715697	0.256458153199149	0.00790693916650009	0.0398275524594579	0.645705160903323	0.645705160903323	SINE/AluSx	UTR3	FRRS1L
chr16_88675704	16	88675704	133	4.29444019288788e-06	9.68669805572596e-08	0.391184032999377	0.00822310318854469	0.600588472504904	0.600588472504904	SINE/AluJb	ncRNA_intronic	SNAI3-AS1
chr9_109132112	9	109132112	171	0.0671163959189102	0.34416239026987	0.00403336905876978	0.0201179163270028	0.564569928425447	0.564569928425447	SINE/AluYm1	UTR3	FRRS1L
chr9_109135536	9	109135536	171	0.0436828460086303	0.223664347773403	0.031239562372892	0.159410403682961	0.542002840162114	0.542002840162114	SINE/AluSz6	UTR3	FRRS1L
