edsite	chr	pos	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP.H4.abf
1_10451955	1	10451955	227	0.976795699720942	0.00161077660423628	0.0213978510794113	3.51253963298422e-05	0.000160547199080555	0.000160547199080555
1_10452114	1	10452114	227	0.983308167471507	0.00162151593354685	0.014917030879173	2.44699866117027e-05	0.000128815729161972	0.000128815729161972
1_10517313	1	10517313	197	0.957551811531286	0.00177523553907885	0.0403088658571698	7.44402323663088e-05	0.000289646840099182	0.000289646840099182
1_10518052	1	10518052	200	0.967162829661353	0.00183346838138091	0.0306591610345642	5.78344295064389e-05	0.000286706493195601	0.000286706493195601
1_10519002	1	10519002	201	0.950835825072924	0.00180442761132442	0.0468841477601953	8.85863389869221e-05	0.000387013216569102	0.000387013216569102
1_10519874	1	10519874	201	0.952149551905048	0.00180692070730073	0.0455866170064579	8.61402218165675e-05	0.000370770159376823	0.000370770159376823
1_10519888	1	10519888	201	0.982601738202473	0.00186471066886014	0.0153445796223976	2.89598241767391e-05	0.000160011682092542	0.000160011682092542
1_10519912	1	10519912	201	0.984836929410757	0.00186895245343163	0.0131255411800482	2.47648927778723e-05	0.00014381206298519	0.00014381206298519
1_109474624	1	109474624	242	0.00105081351624446	1.44824386705345e-06	0.995066941467019	0.00136890136966178	0.00251189540320775	0.00251189540320775
1_109474776	1	109474776	242	0.0377023101808409	5.19617788019077e-05	0.958343930191904	0.00131821758757015	0.00258358026088284	0.00258358026088284
1_109474780	1	109474780	242	0.961394016158955	0.00132500483311273	0.037015844678608	5.08013507853973e-05	0.000214332978538727	0.000214332978538727
1_109474785	1	109474785	242	0.371108173232569	0.000511465762087174	0.625644586108692	0.00086039553815444	0.00187537935849753	0.00187537935849753
1_109606156	1	109606156	239	0.864311373142227	0.00303704242617574	0.13076210840142	0.000458044265642439	0.00143143176453493	0.00143143176453493
1_109606220	1	109606220	239	0.962509015417134	0.00338209215594511	0.0335499512092568	0.000117447299848956	0.000441493917815326	0.000441493917815326
1_109606306	1	109606306	239	8.51787616753316e-10	2.99303608694416e-12	0.99324480574602	0.0034868241001112	0.00326836929908705	0.00326836929908705
1_109892140	1	109892140	143	3.00101693247803e-10	7.87933438542346e-13	0.976820465056824	0.0025440601776696	0.0206354744646177	0.0206354744646177
1_11089773	1	11089773	223	0.963865992611086	0.0015521281513568	0.0343170520868252	5.50514982422837e-05	0.000209775652489813	0.000209775652489813
1_11089813	1	11089813	223	0.593062916740387	0.000955018286416449	0.403772384192865	0.00064863980546071	0.00156104097487095	0.00156104097487095
1_120131045	1	120131045	239	0.978471506474858	0.0015719739711704	0.019795560931221	3.16734871706948e-05	0.000129285135579587	0.000129285135579587
1_1251538	1	1251538	157	0.984480713455106	0.00279654627815681	0.0124608605696627	3.51699951521747e-05	0.000226709701922228	0.000226709701922228
1_150583312	1	150583312	173	0.984571285994557	0.00112210400599229	0.0142083293175242	1.6110891567862e-05	8.21697903581892e-05	8.21697903581892e-05
1_150583541	1	150583541	173	0.949468398893185	0.0010820976694287	0.0491964120680927	5.58713367569199e-05	0.00019722003253685	0.00019722003253685
1_150586519	1	150586519	175	0.983014913234502	0.0010981517669269	0.0157710573991255	1.75199045674598e-05	9.83576948784973e-05	9.83576948784973e-05
1_150588000	1	150588000	176	0.988225182239893	0.00110511037432364	0.0105802218310591	1.17538965154911e-05	7.77316582083978e-05	7.77316582083978e-05
1_150588029	1	150588029	176	0.981027554133798	0.0010970614259326	0.0176891561894621	1.96147788354954e-05	0.000166613471971912	0.000166613471971912
1_150590067	1	150590067	179	0.984542897298675	0.00111569508959121	0.0141955145925084	1.59565804296286e-05	0.000129936438795312	0.000129936438795312
1_150590370	1	150590370	179	0.972757075725709	0.00110233926396712	0.0258175933966455	2.89627584892038e-05	0.000294028855189282	0.000294028855189282
1_150591647	1	150591647	184	0.956822049379317	0.00112082246908424	0.041824795654143	4.88100922009613e-05	0.000183522405254862	0.000183522405254862
1_150593172	1	150593172	182	0.984565375435068	0.00114297685408614	0.014168206987288	1.63406982158013e-05	0.000107100025342137	0.000107100025342137
1_150593196	1	150593196	182	0.00597196598271937	6.93282443395062e-06	0.990720802786573	0.00114797032979812	0.00215232807647583	0.00215232807647583
1_150593225	1	150593225	182	0.972876515814598	0.00112940731738477	0.02583512848839	2.9862781495023e-05	0.000129085598132335	0.000129085598132335
1_150593528	1	150593528	182	0.986414420475053	0.00114512340091339	0.0123310502904305	1.42198665629217e-05	9.51859670396971e-05	9.51859670396971e-05
1_150594025	1	150594025	181	0.980243880345114	0.00113149258708606	0.0184516454136202	2.11468444512952e-05	0.000151834809728408	0.000151834809728408
1_151415103	1	151415103	117	7.29696534358176e-07	9.37374770244417e-07	0.0311219640599679	0.039049729980395	0.929826638888332	0.929826638888332
1_151415946	1	151415946	120	0.370691705003541	0.476200633472323	0.00733871361820091	0.00929103294295019	0.136477914962984	0.136477914962984
1_151419611	1	151419611	125	0.409183981748114	0.525696736036468	0.00717211697402086	0.00916555387558756	0.0487816113658101	0.0487816113658101
1_151422878	1	151422878	125	0.119654600862316	0.153724963334803	0.0219638150817917	0.0275406595678125	0.677115961153277	0.677115961153277
1_151427461	1	151427461	123	0.406202282805228	0.521866152785573	0.00499982312877336	0.0063629265009088	0.060568814779517	0.060568814779517
1_155306163	1	155306163	78	0.970490532213617	0.00287132424228271	0.0120724881269484	2.11735665723263e-05	0.0145444818505791	0.0145444818505791
1_155851600	1	155851600	119	0.986616128227093	0.00152702678130157	0.0117012835115883	1.79729742415685e-05	0.000137588505775034	0.000137588505775034
1_155851620	1	155851620	119	0.977198448783379	0.00151245064746712	0.0210338898277221	3.2332146772294e-05	0.000222878594659419	0.000222878594659419
1_155851637	1	155851637	119	0.987818103447569	0.00152888712829937	0.0104769573510947	1.60556258236534e-05	0.000159996447213754	0.000159996447213754
1_156381410	1	156381410	132	0.936863636612337	0.0019411423864673	0.0608168049887357	0.00012575722499886	0.000252658787461406	0.000252658787461406
1_156381419	1	156381419	132	0.989686807310014	0.00205058979334887	0.00814235627225109	1.67671431666357e-05	0.000103479481219919	0.000103479481219919
1_160112340	1	160112340	184	0.729821455474112	0.00136377131198999	0.26535356428549	0.000492881137571558	0.00296832779083636	0.00296832779083636
1_160112341	1	160112341	184	0.777140853054205	0.00145219408503447	0.218625767891121	0.000406157152314326	0.00237502781732462	0.00237502781732462
1_160112448	1	160112448	183	0.323353518948985	0.000603383009136436	0.668453978577534	0.00124099804748928	0.0063481214168552	0.0063481214168552
