edsite	chr	pos	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP.H4.abf
1_10451955	1	10451955	431	0.953947258499021	0.00678795496165627	0.0384303264814059	0.000272895193875412	0.000561564864041562	0.000561564864041562
1_10452114	1	10452114	431	0.964305350704795	0.00686165952210765	0.027951159478016	0.000198207049139211	0.000683623245942606	0.000683623245942606
1_10517313	1	10517313	400	0.932139330473683	0.00824404750732914	0.0584329004392253	0.000516125968895429	0.000667595610867093	0.000667595610867093
1_10518052	1	10518052	400	0.939862883519548	0.00829474148333479	0.0503721101681381	0.000443531338906745	0.00102673349007196	0.00102673349007196
1_10519002	1	10519002	397	0.919747927438258	0.00810172823713778	0.0703966298182915	0.000618963807377427	0.00113475069893584	0.00113475069893584
1_10519874	1	10519874	395	0.88854536060945	0.00781188271164794	0.094327528425162	0.000820811121114269	0.00849441713262607	0.00849441713262607
1_10519888	1	10519888	395	0.962179067171111	0.00845925301459911	0.0286039944858214	0.00025097290799485	0.000506712420473376	0.000506712420473376
1_10519912	1	10519912	395	0.964647764159658	0.00848095722034939	0.025855665467885	0.000226527870070907	0.000789085282037102	0.000789085282037102
1_109474624	1	109474624	545	0.000270575515503575	1.42922866915351e-06	0.990225152620633	0.00522627126444635	0.00427657137074888	0.00427657137074888
1_109474776	1	109474776	545	0.000689294134678835	3.64097592839784e-06	0.989300893553005	0.00522088044184417	0.00478529089454391	0.00478529089454391
1_109474780	1	109474780	545	0.911761508791082	0.00481608871878009	0.0822029232951999	0.000433424610941557	0.000786054583996454	0.000786054583996454
1_109474785	1	109474785	545	0.020210062604711	0.000106753195411203	0.969868950116246	0.00511832679581275	0.00469590728781938	0.00469590728781938
1_109606156	1	109606156	519	0.655966932562194	0.0105150603629033	0.326177966653296	0.00522647470322345	0.00211356571838394	0.00211356571838394
1_109606220	1	109606220	519	0.90422982102849	0.0144946805670731	0.0785931700134372	0.00125841386964142	0.00142391452135808	0.00142391452135808
1_109606306	1	109606306	519	1.00836470879135e-10	1.61639485992797e-12	0.979685742826541	0.0156996140476815	0.00461464302332655	0.00461464302332655
1_109892140	1	109892140	303	1.46840787855659e-10	1.3114472375471e-12	0.975008625971386	0.00869158299691293	0.0162997908835471	0.0162997908835471
1_11089773	1	11089773	431	0.932895994655133	0.0107452045516096	0.0545583319860347	0.000627235979499625	0.00117323282772299	0.00117323282772299
1_11089813	1	11089813	431	0.475803411041597	0.00548035901889101	0.508668543538965	0.00585471046089639	0.00419297593965108	0.00419297593965108
1_120131045	1	120131045	455	0.9482943450829	0.00552799205039099	0.0452788382547023	0.000263313186804199	0.000635511425202519	0.000635511425202519
1_1251538	1	1251538	13	0.998768215207778	0.000171131741053007	0.00104646003498199	1.65275650382574e-07	1.40277405364118e-05	1.40277405364118e-05
1_150583312	1	150583312	333	0.962748872172822	0.00680939942514304	0.0297677886196392	0.000210079895159577	0.000463859887236603	0.000463859887236603
1_150583541	1	150583541	334	0.917659434012408	0.00634312469637598	0.0741674945207897	0.000511348354841925	0.00131859841558443	0.00131859841558443
1_150586519	1	150586519	333	0.964881424960611	0.00639738723877076	0.0281119771180835	0.000185965671823483	0.000423245010711504	0.000423245010711504
1_150588000	1	150588000	333	0.973248565368972	0.00630068384108313	0.0199448587317826	0.000128743256401597	0.000377148801760517	0.000377148801760517
1_150588029	1	150588029	333	0.971965668730198	0.00629237853613912	0.0211334843139965	0.00013634328653151	0.00047212513313539	0.00047212513313539
1_150590067	1	150590067	338	0.964289178171777	0.00629148325595007	0.0286551838041465	0.000186382335781006	0.000577772432345039	0.000577772432345039
1_150590370	1	150590370	339	0.944223204924725	0.00616634495300517	0.04637023742407	0.00029988518876493	0.00294032750943454	0.00294032750943454
1_150591647	1	150591647	340	0.927837262740689	0.00592020287549712	0.0638454973076588	0.00040538398477841	0.00199165309137666	0.00199165309137666
