edsite	chr	pos	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP.H4.abf
1_10451955	1	10451955	459	0.913207116811413	0.0416748084578441	0.0397951532569302	0.00181256768480956	0.00351035378900341	0.00351035378900341
1_10452114	1	10452114	459	0.922374338959143	0.0420931606805372	0.0301516990020746	0.00137198383239732	0.00400881752584773	0.00400881752584773
1_10517313	1	10517313	432	0.901162151430486	0.0329638698105705	0.0607644825267622	0.00221983183798948	0.00288966439419173	0.00288966439419173
1_10518052	1	10518052	432	0.908454653014282	0.0332467670149835	0.0534908573234183	0.00195475500427127	0.00285296764304471	0.00285296764304471
1_10519002	1	10519002	429	0.888680506682786	0.0323577409390706	0.0721415547730397	0.00262254809627248	0.00419764950883172	0.00419764950883172
1_10519874	1	10519874	427	0.866756385033019	0.0314248057001663	0.0939972931522279	0.00340351382799095	0.00441800228659598	0.00441800228659598
1_10519888	1	10519888	427	0.932443922955393	0.0338063492939343	0.0298047793693604	0.00107772406614622	0.00286722431516624	0.00286722431516624
1_10519912	1	10519912	427	0.934924987586579	0.0338963018749719	0.0273539524689469	0.000988899138712744	0.00283585893078931	0.00283585893078931
1_109474624	1	109474624	566	0.000274404483152945	7.40447089474707e-06	0.955316652092434	0.0257594146494368	0.018642124304081	0.018642124304081
1_109474776	1	109474776	566	0.000737752101659546	1.99073422617219e-05	0.952460582287978	0.0256798873363559	0.0211018709317446	0.0211018709317446
1_109474780	1	109474780	566	0.886933822530357	0.0239328293730259	0.0814290591954205	0.0021917514863769	0.00551253741481947	0.00551253741481947
1_109474785	1	109474785	566	0.0209853698554282	0.000566264656191543	0.93276562951452	0.0251490111601769	0.0205337248136829	0.0205337248136829
1_109606156	1	109606156	575	0.627558924068214	0.0127594908383724	0.345095591061361	0.00700888598990199	0.00757710804215093	0.00757710804215093
1_109606220	1	109606220	575	0.888982875511526	0.0180747471202025	0.0883766051719267	0.00179409622083905	0.0027716759755059	0.0027716759755059
1_109606306	1	109606306	575	7.80740857184378e-11	1.58739768208671e-12	0.956151781415852	0.0194159891034377	0.024432229401051	0.024432229401051
1_109892140	1	109892140	354	1.59920328782088e-11	1.23960748287156e-11	0.105119797528367	0.0806684168498621	0.814211785593381	0.814211785593381
1_11089773	1	11089773	521	0.911998998409546	0.0185678941476802	0.0654415979628429	0.00132970003080307	0.00266180944912803	0.00266180944912803
1_11089813	1	11089813	521	0.454435976538575	0.00925211444747306	0.498444903862908	0.0101203700069983	0.0277466351440465	0.0277466351440465
1_120131045	1	120131045	483	0.932627168047354	0.0166140488762962	0.0480550281234194	0.000854214504593229	0.00184954044833737	0.00184954044833737
1_1251538	1	1251538	597	0.852368872214035	0.0911583126310485	0.0455005095775329	0.00486003173041136	0.00611227384697203	0.00611227384697203
1_150583312	1	150583312	427	0.660800216746805	0.283812246824092	0.0252368975243212	0.0108198614742139	0.0193307774305675	0.0193307774305675
1_150583541	1	150583541	428	0.5978641155122	0.25695714278041	0.0535793019535805	0.0229593088376651	0.0686401309161445	0.0686401309161445
1_150586519	1	150586519	428	0.661061045715914	0.284915073211411	0.0276687420809356	0.0119106897372866	0.0144444492544519	0.0144444492544519
1_150588000	1	150588000	428	0.669869885851136	0.286816241810372	0.0194483117937283	0.00831157313989683	0.0155539874048666	0.0155539874048666
1_150588029	1	150588029	428	0.656235585749536	0.280978483168801	0.0327756251272756	0.0140174512820893	0.0159928546722989	0.0159928546722989
1_150590067	1	150590067	433	0.635477922811945	0.272498320336984	0.0247605670410518	0.0105608386948774	0.056702351115142	0.056702351115142
1_150590370	1	150590370	434	0.649538123444857	0.278803962558149	0.0382177143950167	0.0163872963237319	0.0170529032782448	0.0170529032782448
1_150591647	1	150591647	438	0.611853477483809	0.262659023224802	0.047026124140602	0.0201292393782681	0.0583321357725189	0.0583321357725189
1_150593172	1	150593172	435	0.679244317884714	0.275036114828169	0.0217311861062117	0.00878407577672201	0.015204305404183	0.015204305404183
1_150593196	1	150593196	435	0.00170949747149627	0.000692200921655283	0.663307415671843	0.268517252738267	0.0657736331967387	0.0657736331967387
1_150593225	1	150593225	435	0.615870895618997	0.249375274708655	0.0390406268193804	0.0157281447092093	0.0799850581437579	0.0799850581437579
1_150593528	1	150593528	435	0.679405080496959	0.275101209998076	0.0208203985762581	0.00841422959971122	0.0162590813289954	0.0162590813289954
