Unique_ID	Ref_MFE	Edit_MFE	deltaG	EditSite_Changed	SpliceStart_Changed	SpliceEnd_Changed
1000|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1001|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1002|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1003|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1004|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1005|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1006|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1007|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1008|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1009|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
100|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1010|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1011|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1012|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1013|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1014|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1015|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1016|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1017|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1018|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1019|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
101|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1020|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1021|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1022|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1023|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1024|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1025|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1026|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1027|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1028|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1029|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
102|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1030|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1031|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1032|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1033|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1034|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1035|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1036|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1037|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1038|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1039|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
103|chr10_35321030|35321030|35316409|35320	-89.6	-89.2	0.4	0	NA	NA
1040|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1041|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1042|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1043|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1044|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1045|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1046|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1047|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1048|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1049|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
104|chr10_35321030|35321030|35321112|35321	-89.6	-89.2	0.4	0	1	NA
1050|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1051|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1052|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1053|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1054|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1055|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1056|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1057|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1058|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1059|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
105|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1060|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1061|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1062|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1063|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1064|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1065|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1066|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1067|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1068|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1069|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
106|chr10_35321030|35321030|35316409|35320	-89.6	-89.2	0.4	0	NA	NA
1070|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1071|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1072|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1073|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1074|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1075|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1076|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1077|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1078|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1079|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
107|chr10_35321030|35321030|35321112|35321	-89.6	-89.2	0.4	0	1	NA
1080|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1081|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1082|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1083|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1084|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1085|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1086|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1087|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1088|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1089|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
108|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1090|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1091|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1092|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1093|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1094|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1095|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1096|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1097|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1098|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1099|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
109|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
10|chr10_35321030|35321030|35299259|353208	-89.6	-89.2	0.4	0	NA	NA
1100|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1101|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1102|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1103|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1104|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1105|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1106|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1107|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1108|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1109|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
110|chr10_35321030|35321030|35299259|35320	-89.6	-89.2	0.4	0	NA	NA
1110|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1111|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1112|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1113|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1114|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1115|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1116|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1117|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1118|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1119|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
111|chr10_35321030|35321030|35316409|35320	-89.6	-89.2	0.4	0	NA	NA
1120|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1121|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1122|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1123|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1124|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1125|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
1126|chr10_73249197|73249197|73249318|7325	-92.6	-93.4	-0.8	0	0	NA
