ID	Ref_MFE	Edit_MFE	deltaG	EditSite_Changed	SpliceStart_Changed	SpliceEnd_Changed
chr11_47536684|47536684|47489024|47536620	-43.10	-43.10	0	0	NA	0
chr11_47536684|47536684|47536730|47552992	-43.10	-43.10	0	0	0	NA
chr11_47536706|47536706|47489024|47536620	-47.29	-47.29	0	0	NA	0
chr11_47536706|47536706|47536730|47552992	-47.29	-47.29	0	0	0	NA
chr12_121776900|121776900|121776444|121776	-60.90	-65.10	-4.2	1	NA	NA
chr12_121776917|121776917|121776444|121776	-67.20	-67.20	0	0	NA	NA
chr4_51887162|51887162|51886638|51887123	-50.20	-50.20	0	0	NA	0
chr4_51887162|51887162|51887244|51891760	-50.20	-50.20	0	0	0	NA
chr4_51887180|51887180|51886638|51887123	-52.20	-52.50	-0.3	0	NA	0
chr4_51887180|51887180|51887244|51891760	-52.20	-52.50	-0.3	0	0	NA
chr4_51887200|51887200|51886638|51887123	-51.80	-55.60	-3.8	1	NA	0
chr4_51887200|51887200|51887244|51891760	-51.80	-55.60	-3.8	1	1	NA
