Experiment	RNA editing site	Location	Gene	dFI	p-value	FDR
16HBE14o-mir1343-OE	chr1:145689566	UTR3	RNF115	-0.245614035	5.11E-08	6.99E-05
16HBE14o-mir1343-OE	chr1:1661099	ncRNA_intronic	"RP1-283E3.4,RP1-283E3.8"	0.131560284	0.000161147	0.021124603
16HBE14o-mir1343-OE	chr1:19543456	ncRNA_intronic	RP1-43E13.2	0.306985294	0.00019256	0.024168298
16HBE14o-mir1343-OE	chr1:28826031	UTR3	PHACTR4	0.157407407	1.17E-05	0.003833372
16HBE14o-mir1343-OE	chr1:36067749	UTR3	PSMB2	0.093500725	0.000398439	0.039837192
16HBE14o-mir1343-OE	chr1:67874731	UTR3	SERBP1	0.227621483	0.000117506	0.017329269
16HBE14o-mir1343-OE	chr1:92934525	intergenic	"RN7SL824P,GFI1"	0.236363636	2.12E-05	0.005447689
16HBE14o-mir1343-OE	chr10:75536077	downstream	FUT11	-0.153963415	0.000468591	0.044716486
16HBE14o-mir1343-OE	chr11:65544523	UTR3	AP5B1	0.113503996	2.94E-05	0.006935437
16HBE14o-mir1343-OE	chr12:27187636	intergenic	"MED21,C12orf71"	-0.457142857	8.54E-05	0.015099416
16HBE14o-mir1343-OE	chr14:20834432	UTR3	TEP1	0.214285714	5.99E-05	0.01177492
16HBE14o-mir1343-OE	chr14:20835060	UTR3	TEP1	-0.348484848	2.97E-07	0.000194962
16HBE14o-mir1343-OE	chr14:35743573	intronic	KIAA0391	0.266666667	2.35E-05	0.005765998
16HBE14o-mir1343-OE	chr14:55834296	UTR3	ATG14	0.2875	1.88E-05	0.005447689
16HBE14o-mir1343-OE	chr15:41597647	ncRNA_exonic	OIP5-AS1	0.343093093	0.000298421	0.032673471
16HBE14o-mir1343-OE	chr15:42859342	ncRNA_intronic	RP11-265N6.2	0.124748858	0.000350967	0.036970598
16HBE14o-mir1343-OE	chr15:50652820	ncRNA_intronic	GABPB1-AS1	0.155555556	4.27E-05	0.009001325
16HBE14o-mir1343-OE	chr15:50655721	ncRNA_intronic	GABPB1-AS1	0.388888889	7.13E-09	3.38E-05
16HBE14o-mir1343-OE	chr16:50139562	ncRNA_intronic	RP11-429P3.5	0.170334928	3.52E-05	0.007687601
16HBE14o-mir1343-OE	chr16:50139580	ncRNA_intronic	RP11-429P3.5	0.258445946	3.20E-05	0.007256545
16HBE14o-mir1343-OE	chr16:81064189	ncRNA_intronic	RP11-303E16.3	0.228571429	6.50E-05	0.012362398
16HBE14o-mir1343-OE	chr17:2320651	UTR3	METTL16	0.193939394	0.000469982	0.044716486
16HBE14o-mir1343-OE	chr17:42877235	UTR3	GJC1	0.193439865	4.88E-05	0.009919555
16HBE14o-mir1343-OE	chr17:42880249	UTR3	GJC1	0.294117647	5.33E-06	0.00196341
16HBE14o-mir1343-OE	chr17:65334802	UTR3	PSMD12	-0.27	2.00E-06	0.000842635
16HBE14o-mir1343-OE	chr18:23749159	intronic	PSMA8	0.103125	0.00037693	0.03833634
16HBE14o-mir1343-OE	chr19:11256672	UTR3	SPC24	0.158326497	0.000299096	0.032673471
16HBE14o-mir1343-OE	chr19:11257709	UTR3	SPC24	0.161474164	7.74E-05	0.014263548
16HBE14o-mir1343-OE	chr19:45167121	ncRNA_intronic	CTB-171A8.1	0.350574713	1.97E-06	0.000842635
16HBE14o-mir1343-OE	chr19:45167122	ncRNA_intronic	CTB-171A8.1	0.206451613	0.000530895	0.048180739
16HBE14o-mir1343-OE	chr19:46053316	UTR3	OPA3	0.239393939	0.000323994	0.034749799
