edsite	chr	pos	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP.H4.abf
1_10451955	1	10451955	213	0.978973344738562	0.00503981680080015	0.0155059835908477	7.94243553806651e-05	0.000401430514409481	0.000401430514409481
1_10452114	1	10452114	213	0.980764515669297	0.0050490378622298	0.0138143959908897	7.08161514351411e-05	0.000301234326148174	0.000301234326148174
1_10517313	1	10517313	266	0.957431953986977	0.00533853247731431	0.0365330113471286	0.000203210655006518	0.000493291533573966	0.000493291533573966
1_10518052	1	10518052	266	0.958727181022696	0.00533369162685619	0.0350798863326686	0.000194495357972628	0.000664745659806965	0.000664745659806965
1_10519002	1	10519002	264	0.96048232788338	0.00530581756282145	0.0334143048535563	0.00018397097884372	0.000613578721398788	0.000613578721398788
1_10519874	1	10519874	263	0.920726791438081	0.0050725831918633	0.0728595595709765	0.000400466398509247	0.000940599400569958	0.000940599400569958
1_10519888	1	10519888	263	0.973247688728255	0.00536193788784169	0.0208680704841773	0.000114561242159362	0.000407741657566171	0.000407741657566171
1_10519912	1	10519912	263	0.973629988583404	0.00536404410201674	0.0203553215188174	0.000111605042335602	0.000539040753425971	0.000539040753425971
1_109474624	1	109474624	197	0.016892200875515	6.5412720085637e-05	0.964823641017169	0.00372164949785264	0.0144970958893783	0.0144970958893783
1_109474776	1	109474776	197	0.234026000237263	0.000906233436311455	0.749552639477346	0.00288991409262505	0.0126252127564549	0.0126252127564549
1_109474780	1	109474780	197	0.976383902384404	0.0037809121128419	0.0193878312156443	7.47040544384637e-05	0.000372650232670812	0.000372650232670812
1_109474785	1	109474785	197	0.649869145204154	0.00251652871054528	0.340602613091961	0.00131323820817337	0.00569847478516672	0.00569847478516672
1_109606156	1	109606156	215	0.683500500404194	0.00363448268959416	0.308209086653542	0.00163586767716352	0.00302006257550653	0.00302006257550653
1_109606220	1	109606220	215	0.943035168396037	0.005014546431476	0.0509912086508057	0.000270454801076075	0.000688621720605646	0.000688621720605646
1_109606306	1	109606306	215	3.90295162462872e-11	2.07537669828302e-13	0.98792931657703	0.00524644477512068	0.00682423860861179	0.00682423860861179
1_109892140	1	109892140	139	4.13567624021617e-07	2.3524353539791e-09	0.974097224568268	0.00552043078529672	0.0203819287263755	0.0203819287263755
1_11089773	1	11089773	342	0.952136051374242	0.0105625245553288	0.0352676089814365	0.000389597123370522	0.00164421796562251	0.00164421796562251
1_11089813	1	11089813	342	0.612786166354522	0.00679794544061581	0.371316412578854	0.0041142146369667	0.00498526098904115	0.00498526098904115
1_120131045	1	120131045	258	0.958008196149165	0.0106686248917918	0.0300417524653899	0.000333604836068742	0.000947821657584659	0.000947821657584659
1_1251538	1	1251538	322	0.392436225658045	0.555943714156927	0.00953178435629293	0.0134745627296329	0.0286137130991018	0.0286137130991018
1_150583312	1	150583312	183	0.803828932468426	0.16120936287726	0.0116562456193712	0.00231669261569934	0.0209887664192429	0.0209887664192429
1_150583541	1	150583541	184	0.800402296253365	0.163063252784974	0.0215356588475673	0.00437676491432922	0.0106220271997641	0.0106220271997641
1_150586519	1	150586519	184	0.795975412826028	0.164540091747099	0.0141325955990479	0.00289896717533297	0.0224529326524921	0.0224529326524921
1_150588000	1	150588000	185	0.815605441498734	0.168804662989351	0.00824561742532933	0.00170094001682316	0.00564333806976243	0.00564333806976243
1_150588029	1	150588029	185	0.81010913954191	0.167667101427961	0.00956564289027565	0.00196909807286056	0.0106890180669925	0.0106890180669925
1_150590067	1	150590067	188	0.809625393482819	0.174854391364696	0.00778736297098946	0.00167577581028123	0.00605707637121477	0.00605707637121477
1_150590370	1	150590370	189	0.787580397969892	0.170286812432436	0.0275261328694211	0.00594290314295981	0.00866375358529105	0.00866375358529105
1_150591647	1	150591647	187	0.795142606536333	0.171893938321893	0.0208475712049236	0.00449921152343761	0.00761667241341253	0.00761667241341253
1_150593172	1	150593172	186	0.806223959714786	0.174281383133107	0.00994801491156378	0.00214305817947849	0.00740358406106499	0.00740358406106499
1_150593196	1	150593196	186	0.0010656995441222	0.000230372204045689	0.239620810802062	0.0510908234455249	0.707992294004245	0.707992294004245
1_150593225	1	150593225	186	0.78351824078432	0.169373089286775	0.0249761597288332	0.00538234472676276	0.0167501654733088	0.0167501654733088
1_150593528	1	150593528	186	0.808337233680892	0.174738209434675	0.00936811565140662	0.00201956810347725	0.00553687312954963	0.00553687312954963
1_150594025	1	150594025	185	0.808467174357803	0.174744040138207	0.00849163249884184	0.00182893365877591	0.00646821934637233	0.00646821934637233
1_151415103	1	151415103	156	1.53798192108572e-05	4.79606253228871e-08	0.956513130145352	0.00294227363453013	0.0405291684402809	0.0405291684402809
1_151415946	1	151415946	156	0.886585219013426	0.00274671299575324	0.108510648636442	0.000334351732493766	0.00182306762188521	0.00182306762188521
1_151419611	1	151419611	160	0.968071689371211	0.00321273825156094	0.0282415615353933	9.33445671194188e-05	0.00038066627471517	0.00038066627471517
1_151422878	1	151422878	160	0.725920028346159	0.00240103766556601	0.267906256108887	0.000883231595483898	0.00288944628390414	0.00288944628390414
1_151427461	1	151427461	159	0.945052897857143	0.00337944301459273	0.050604477029724	0.000180175060804802	0.000783007037735279	0.000783007037735279
1_155306163	1	155306163	76	0.994752541173158	0.00146554742852279	0.00369798116298045	5.36959511692779e-06	7.85606402217889e-05	7.85606402217889e-05
1_155851600	1	155851600	96	0.922762748847275	0.0631440303245396	0.0101103805860741	0.000688552212186095	0.00329428802992542	0.00329428802992542
1_155851620	1	155851620	96	0.911708493327236	0.0623875951014614	0.0171337684258466	0.00116484687999199	0.00760529626546433	0.00760529626546433
1_155851637	1	155851637	96	0.927236501252486	0.0634501661735344	0.00594012491913491	0.000403509028971189	0.00296969862587306	0.00296969862587306
1_156381410	1	156381410	161	0.964408514796525	0.0234353476190441	0.0107209333491731	0.000259345274961341	0.00117585896029674	0.00117585896029674
1_156381419	1	156381419	161	0.966174040728563	0.0234782503032417	0.0092127386640145	0.000222959647257815	0.000912010656922641	0.000912010656922641
1_160112340	1	160112340	254	0.634037094722764	0.00344974584008679	0.355940944333222	0.00193200640433021	0.00464020869959634	0.00464020869959634
1_160112341	1	160112341	254	0.748550817189019	0.00407280597489412	0.242747162269339	0.00131745641172262	0.00331175815502528	0.00331175815502528
1_160112448	1	160112448	254	0.47010213195775	0.00255778863355982	0.518194723641128	0.00281312440155791	0.00633223136600425	0.00633223136600425
1_160112452	1	160112452	255	0.556325714338473	0.0030515636845739	0.433712408218319	0.00237446803699819	0.0045358457216354	0.0045358457216354
1_160112527	1	160112527	254	0.852725203156322	0.00465697943835514	0.139588747870614	0.00076006559841041	0.00226900393629856	0.00226900393629856
1_160302244	1	160302244	174	0.983612140835007	0.00475376034512066	0.0112103015494901	5.38089759033108e-05	0.000369988294478523	0.000369988294478523
1_161336785	1	161336785	274	4.45158409858516e-06	2.31894395127612e-08	0.986727917506181	0.0051319823307859	0.0081356253894948	0.0081356253894948
1_1595180	1	1595180	310	1.16550534351494e-17	9.58689525980894e-20	0.969812148320411	0.00795498279930254	0.022232868880286	0.022232868880286
1_166883151	1	166883151	126	0.99130124138444	0.0020479631915633	0.00652220302205691	1.33592094485984e-05	0.000115233192491123	0.000115233192491123
1_166883269	1	166883269	127	0.345861843268329	0.000719474693850578	0.644779962166275	0.00133399057375378	0.00730472929779187	0.00730472929779187
1_167988904	1	167988904	97	0.909461032983666	0.0115396984755629	0.0742562012127735	0.000938395313316111	0.00380467201468126	0.00380467201468126
1_1660850	1	1660850	266	4.43570884260889e-25	2.75701538021624e-27	0.972740670926699	0.00602483635157068	0.0212344927217326	0.0212344927217326
1_1661090	1	1661090	266	0.115620947348396	0.000718642141370156	0.85282944518949	0.00527520671367864	0.0255557586070658	0.0255557586070658
1_1661099	1	1661099	266	1.41752172635191e-27	8.81060804487862e-30	0.971642575595699	0.00601690511211111	0.0223405192921923	0.0223405192921923
1_1661104	1	1661104	264	2.76109033104669e-41	1.71280116298144e-43	0.971647594241052	0.00600512349879651	0.0223472822601458	0.0223472822601458
1_179042482	1	179042482	250	0.0400018260087783	0.00112265605302331	0.924462768468752	0.025936682601348	0.00847606686809857	0.00847606686809857
1_19542679	1	19542679	264	0.962305913435138	0.00623206957262678	0.0306436255671078	0.000197833180660686	0.000620558244466322	0.000620558244466322
1_19542685	1	19542685	264	1.61883519068131e-05	1.04838735729357e-07	0.986608611963326	0.00638246567599565	0.00699262917003606	0.00699262917003606
1_19543349	1	19543349	266	0.937813928248662	0.00612868176428182	0.0545937212976259	0.000355665909488428	0.00110800277994179	0.00110800277994179
